21838	Gunjala Gondi
21901	Tolong Siki
21955	Makasar
21980	Kawi
22067	Lisu Supplement
22068	Tamil Supplement
22119	Cuneiform
23041	Cuneiform Numbers and Punctuation
23157	Early Dynastic Cuneiform
23353	Cypro-Minoan
23452	Egyptian Hieroglyphs
24524	Egyptian Hieroglyph Format Controls
24562	Egyptian Hieroglyphs Extended-A
28557	Anatolian Hieroglyphs
29140	Gurung Khema
29198	Bamum Supplement
29767	Mro
29810	Tangsa
29899	Bassa Vah
29935	Pahawh Hmong
30062	Kirat Rai
30120	Medefaidrin
30211	Beria Erfe
30261	Miao
30410	Ideographic Symbols and Punctuation
30422	Tangut Components
31190	Khitan Small Script
31661	Tangut Components Supplement
31776	Kana Extended-B
31789	Kana Supplement
32045	Kana Extended-A
32080	Small Kana Extension
32089	Nushu
32485	Duployan
32628	Shorthand Format Controls
32632	Symbols for Legacy Computing Supplement
33327	Miscellaneous Symbols Supplement
33361	Znamenny Musical Notation
33546	Byzantine Musical Symbols
33792	Musical Symbols
34025	Ancient Greek Musical Notation
34095	Kaktovik Numerals
34115	Mayan Numerals
34135	Tai Xuan Jing Symbols
34222	Counting Rod Numerals
34247	Mathematical Alphanumeric Symbols
35243	Sutton SignWriting
35915	Latin Extended-G
35952	Glagolitic Supplement
35990	Cyrillic Extended-D
36053	Nyiakeng Puachue Hmong
36124	Toto
36155	Wancho
36214	Nag Mundari
36256	Ol Onal
36300	Tai Yo
36355	Ethiopic Extended-B
36383	Mende Kikakui
36596	Adlam
36684	Indic Siyaq Numbers
36752	Ottoman Siyaq Numbers
36813	Arabic Mathematical Alphabetic Symbols
36956	Mahjong Tiles
37000	Domino Tiles
37100	Playing Cards
37182	Enclosed Alphanumeric Supplement
37382	Enclosed Ideographic Supplement
37446	Miscellaneous Symbols and Pictographs
38214	Emoticons
38294	Ornamental Dingbats
38342	Transport and Map Symbols
38461	Alchemical Symbols
38589	Geometric Shapes Extended
38692	Supplemental Arrows-C
38863	Supplemental Symbols and Pictographs
39119	Chess Symbols
39221	Symbols and Pictographs Extended-A
39341	Symbols for Legacy Computing
39591	CJK Compatibility Ideographs Supplement
40133	Tags
40230	Variation Selectors Supplement
